,show_id,userId,score
0,as1,99178.624,3.467
1,as10,92915.883,3.44
2,as100,83483.263,3.609
3,as1000,90606.198,3.557
4,as1001,92349.085,3.585
5,as1002,86174.651,3.6
6,as1003,90215.867,3.51
7,as1004,89767.384,3.484
8,as1005,98762.477,3.577
9,as1006,88692.172,3.478
10,as1007,82734.8,3.563
11,as1008,85586.267,3.447
12,as1009,88361.731,3.503
13,as101,93184.737,3.532
14,as1010,89341.809,3.608
15,as1011,81463.83,3.409
16,as1012,88926.64,3.527
17,as1013,91205.996,3.619
18,as1014,84486.698,3.49
19,as1015,89722.438,3.584
20,as1016,87170.475,3.521
21,as1017,92429.776,3.576
22,as1018,96018.504,3.566
23,as1019,89753.403,3.483
24,as102,91165.09,3.416
25,as1020,94382.936,3.562
26,as1021,89997.583,3.592
27,as1022,86694.996,3.543
28,as1023,86959.062,3.508
29,as1024,94243.552,3.544
30,as1025,89700.013,3.574
31,as1026,90314.054,3.523
32,as1027,96920.188,3.513
33,as1028,87102.066,3.478
34,as1029,97063.812,3.592
35,as103,88470.381,3.58
36,as1030,90018.399,3.558
37,as1031,93827.758,3.5
38,as1032,90092.581,3.499
39,as1033,90731.054,3.51
40,as1034,89102.308,3.58
41,as1035,93703.672,3.505
42,as1036,84216.544,3.558
43,as1037,87759.672,3.534
44,as1038,85934.652,3.629
45,as1039,87400.772,3.56
46,as104,84648.916,3.539
47,as1040,87355.359,3.531
48,as1041,92123.711,3.495
49,as1042,94480.63,3.555
50,as1043,90480.652,3.505
51,as1044,92946.584,3.427
52,as1045,99001.884,3.542
53,as1046,85361.371,3.637
54,as1047,89802.66,3.519
55,as1048,88022.939,3.446
56,as1049,89589.68,3.535
57,as105,92141.529,3.582
58,as1050,92112.138,3.577
59,as1051,96165.421,3.523
60,as1052,86847.234,3.546
61,as1053,96812.221,3.511
62,as1054,92427.448,3.522
63,as1055,92549.94,3.61
64,as1056,94966.423,3.539
65,as1057,95618.248,3.569
66,as1058,94981.35,3.53
67,as1059,90877.442,3.508
68,as106,91776.731,3.523
69,as1060,88364.2,3.546
70,as1061,88275.683,3.471
71,as1062,87869.518,3.56
72,as1063,85650.03,3.534
73,as1064,93162.743,3.537
74,as1065,84279.978,3.47
75,as1066,92362.516,3.53
76,as1067,83840.603,3.56
77,as1068,81976.779,3.523
78,as1069,92669.814,3.607
79,as107,85979.19,3.584
80,as1070,84450.746,3.473
81,as1071,82864.188,3.537
82,as1072,92011.746,3.591
83,as1073,90511.009,3.634
84,as1074,85071.037,3.533
85,as1075,90180.328,3.544
86,as1076,98075.651,3.503
87,as1077,88724.342,3.483
88,as1078,92412.917,3.514
89,as1079,91697.088,3.562
90,as108,88658.665,3.556
91,as1080,84820.351,3.507
92,as1081,94518.64,3.604
93,as1082,86679.125,3.502
94,as1083,87629.395,3.513
95,as1084,89985.044,3.538
96,as1085,92821.075,3.55
97,as1086,91590.973,3.625
98,as1087,91657.63,3.521
99,as1088,94835.807,3.46
100,as1089,90297.406,3.532
101,as109,87663.414,3.554
102,as1090,91440.928,3.47
103,as1091,88775.266,3.462
104,as1092,90538.486,3.541
105,as1093,96659.265,3.573
106,as1094,88707.522,3.529
107,as1095,87353.183,3.563
108,as1096,86406.879,3.48
109,as1097,83627.133,3.55
110,as1098,88961.013,3.556
111,as1099,84996.096,3.581
112,as11,92063.01,3.607
113,as110,90763.302,3.479
114,as1100,87652.939,3.6
115,as1101,92922.229,3.596
116,as1102,92788.136,3.467
117,as1103,93359.774,3.473
118,as1104,95413.357,3.577
119,as1105,98390.133,3.55
120,as1106,86863.897,3.49
121,as1107,84957.182,3.541
122,as1108,86892.089,3.505
123,as1109,89608.717,3.514
124,as111,91577.48,3.496
125,as1110,93307.017,3.531
126,as1111,89747.032,3.508
127,as1112,90540.396,3.54
128,as1113,89797.112,3.559
129,as1114,84502.25,3.534
130,as1115,86423.506,3.534
131,as1116,86502.679,3.522
132,as1117,89502.123,3.486
133,as1118,90278.959,3.592
134,as1119,98034.176,3.578
135,as112,88172.767,3.551
136,as1120,92286.013,3.526
137,as1121,82635.916,3.559
138,as1122,88046.529,3.455
139,as1123,87079.629,3.456
140,as1124,85815.313,3.511
141,as1125,87117.497,3.534
142,as1126,87729.063,3.422
143,as1127,84501.443,3.554
144,as1128,88017.972,3.645
145,as1129,88658.156,3.589
146,as113,87694.024,3.534
147,as1130,92789.357,3.588
148,as1131,86050.953,3.559
149,as1132,89143.541,3.487
150,as1133,84791.121,3.601
151,as1134,82971.218,3.519
152,as1135,91543.904,3.454
153,as1136,93797.509,3.541
154,as1137,91923.066,3.529
155,as1138,92363.456,3.461
156,as1139,87947.011,3.674
157,as114,85921.176,3.502
158,as1140,89737.656,3.531
159,as1141,87965.709,3.626
160,as1142,89597.049,3.503
161,as1143,85717.064,3.521
162,as1144,83487.741,3.494
163,as1145,87895.447,3.506
164,as1146,92762.343,3.608
165,as1147,85172.367,3.54
166,as1148,93819.343,3.498
167,as1149,88199.029,3.47
168,as115,87477.65,3.52
169,as1150,89251.688,3.533
170,as1151,84628.213,3.479
171,as1152,87883.925,3.543
172,as1153,91785.101,3.516
173,as1154,89266.949,3.575
174,as1155,95292.907,3.571
175,as1156,90827.022,3.567
176,as1157,90005.675,3.582
177,as1158,89663.478,3.515
178,as1159,94897.248,3.675
179,as116,88529.797,3.619
180,as1160,93408.84,3.501
181,as1161,97265.499,3.532
182,as1162,85270.454,3.457
183,as1163,97353.596,3.46
184,as1164,90891.554,3.6
185,as1165,90357.482,3.561
186,as1166,88696.905,3.506
187,as1167,87959.29,3.431
188,as1168,89823.417,3.524
189,as1169,91005.274,3.456
190,as117,89177.167,3.573
191,as1170,94819.6,3.5
192,as1171,90928.157,3.448
193,as1172,91308.876,3.491
194,as1173,82751.949,3.499
195,as1174,95897.969,3.476
196,as1175,89953.177,3.555
197,as1176,95972.987,3.544
198,as1177,91662.026,3.556
199,as1178,92750.524,3.526
200,as1179,93341.086,3.53
201,as118,90926.494,3.494
202,as1180,88418.012,3.554
203,as1181,94263.693,3.669
204,as1182,86160.905,3.536
205,as1183,92068.08,3.561
206,as1184,86737.632,3.556
207,as1185,96835.307,3.507
208,as1186,91045.375,3.472
209,as1187,88174.502,3.536
210,as1188,90707.861,3.475
211,as1189,90783.862,3.487
212,as119,90623.022,3.634
213,as1190,84494.74,3.582
214,as1191,90776.293,3.528
215,as1192,87170.116,3.583
216,as1193,89795.112,3.51
217,as1194,91955.311,3.518
218,as1195,96818.813,3.614
219,as1196,82208.547,3.518
220,as1197,89582.829,3.521
221,as1198,92635.757,3.563
222,as1199,91207.434,3.579
223,as12,81827.427,3.569
224,as120,92124.806,3.447
225,as1200,91246.841,3.492
226,as1201,96747.74,3.495
227,as1202,92400.79,3.498
228,as1203,87631.014,3.592
229,as1204,87536.818,3.49
230,as1205,92279.504,3.514
231,as1206,97124.046,3.486
232,as1207,84338.154,3.454
233,as1208,83543.196,3.648
234,as1209,96411.034,3.545
235,as121,88709.65,3.549
236,as1210,88216.357,3.585
237,as1211,86029.247,3.478
238,as1212,89033.187,3.578
239,as1213,87374.237,3.534
240,as1214,89645.184,3.553
241,as1215,94232.081,3.566
242,as1216,88851.509,3.513
243,as1217,94037.281,3.495
244,as1218,93318.721,3.535
245,as1219,91025.411,3.473
246,as122,91371.044,3.529
247,as1220,91572.386,3.562
248,as1221,88405.896,3.498
249,as1222,96730.46,3.482
250,as1223,91018.571,3.52
251,as1224,89131.446,3.601
252,as1225,89239.597,3.5
253,as1226,93277.459,3.529
254,as1227,95186.136,3.485
255,as1228,87782.51,3.523
256,as1229,95536.8,3.586
257,as123,86694.586,3.448
258,as1230,86075.336,3.519
259,as1231,87387.582,3.537
260,as1232,90181.754,3.528
261,as1233,92409.363,3.497
262,as1234,82804.148,3.582
263,as1235,96646.759,3.486
264,as1236,90925.901,3.565
265,as1237,89995.657,3.49
266,as1238,85992.125,3.524
267,as1239,87903.808,3.563
268,as124,92010.837,3.406
269,as1240,82800.48,3.533
270,as1241,93375.93,3.475
271,as1242,84096.449,3.518
272,as1243,88107.464,3.559
273,as1244,93125.927,3.567
274,as1245,81784.544,3.547
275,as1246,83799.959,3.502
276,as1247,90530.529,3.434
277,as1248,86536.274,3.5
278,as1249,89457.708,3.443
279,as125,92983.679,3.525
280,as1250,83684.935,3.546
281,as1251,95317.52,3.491
282,as1252,84997.242,3.567
283,as1253,87551.749,3.529
284,as1254,96292.412,3.554
285,as1255,89304.924,3.482
286,as1256,87218.692,3.479
287,as1257,97742.1,3.606
288,as1258,88028.961,3.603
289,as1259,87544.56,3.442
290,as126,90856.876,3.544
291,as1260,99370.1,3.602
292,as1261,98095.681,3.513
293,as1262,90475.955,3.487
294,as1263,81324.633,3.554
295,as1264,88660.521,3.572
296,as1265,84303.776,3.613
297,as1266,82393.85,3.535
298,as1267,79995.928,3.543
299,as1268,91563.927,3.58
300,as1269,89209.96,3.449
301,as127,88178.343,3.648
302,as1270,91117.216,3.588
303,as1271,92766.4,3.589
304,as1272,88416.095,3.459
305,as1273,82877.092,3.564
306,as1274,83922.524,3.585
307,as1275,85653.564,3.524
308,as1276,91741.889,3.676
309,as1277,84013.863,3.479
310,as1278,89860.215,3.572
311,as1279,85752.456,3.57
312,as128,90098.789,3.5
313,as1280,91525.774,3.542
314,as1281,94475.44,3.515
315,as1282,89073.575,3.553
316,as1283,88890.111,3.56
317,as1284,90804.122,3.645
318,as1285,86677.01,3.545
319,as1286,85080.114,3.438
320,as1287,97689.405,3.448
321,as1288,84557.171,3.536
322,as1289,88949.484,3.466
323,as129,91088.208,3.539
324,as1290,85907.253,3.508
325,as1291,91641.982,3.571
326,as1292,84167.994,3.57
327,as1293,97323.923,3.518
328,as1294,88167.89,3.553
329,as1295,92007.437,3.603
330,as1296,86745.766,3.467
331,as1297,96048.262,3.496
332,as1298,97408.874,3.537
333,as1299,89627.482,3.538
334,as13,93220.81,3.507
335,as130,92879.257,3.493
336,as1300,86495.954,3.468
337,as1301,78030.08,3.534
338,as1302,88154.808,3.542
339,as1303,89495.475,3.493
340,as1304,93800.237,3.605
341,as1305,86568.417,3.505
342,as1306,88037.625,3.577
343,as1307,92707.839,3.568
344,as1308,82346.024,3.468
345,as1309,83416.717,3.506
346,as131,90949.405,3.58
347,as1310,95355.173,3.551
348,as1311,84917.604,3.508
349,as1312,81187.908,3.492
350,as1313,86589.847,3.486
351,as1314,92195.79,3.504
352,as1315,90666.659,3.524
353,as1316,90925.886,3.452
354,as1317,97212.484,3.494
355,as1318,89666.759,3.595
356,as1319,88173.294,3.481
